Athlete_ID,Country,Year,Sport,Event,Gender,Age,Height_cm,Weight_kg,Experience_Years,Previous_Medals,World_Rank,Coach_Rating,Injury_History,Medal,Medal_Count
1,India,2001,Swimming,Floor Exercise,Male,25,181,60,13,3,98,7.7,No,Bronze,1
2,Brazil,2007,Boxing,Vault,Male,25,175,75,10,0,109,9.3,No,Gold,1
3,Australia,2014,Boxing,Road Race,Male,25,193,67,2,1,6,9.9,Yes,Gold,1
4,Germany,2024,Cycling,Butterfly,Female,23,175,63,2,0,108,9.5,No,Gold,1
5,China,2016,Gymnastics,100m,Female,24,172,54,2,1,121,5.3,No,Bronze,1
6,China,2005,Swimming,Heavyweight,Male,24,173,72,10,0,14,6.3,Yes,Bronze,1
7,USA,2021,Athletics,Single Sculls,Male,26,187,75,11,0,51,8.3,No,Gold,1
8,France,2022,Athletics,Vault,Female,23,178,77,15,0,31,5.1,No,Gold,1
9,Germany,2005,Swimming,Freestyle,Female,31,182,76,15,0,155,7.6,No,Silver,2
10,Australia,2013,Rowing,Relay,Female,25,176,68,7,1,57,7.6,No,Bronze,2
11,USA,2016,Cycling,Heavyweight,Male,29,172,89,5,0,90,8.6,No,Bronze,3
12,Brazil,2005,Gymnastics,Butterfly,Female,23,181,72,13,0,132,7.6,No,Gold,2
13,France,2019,Athletics,Freestyle,Female,25,163,72,1,0,60,9.9,No,Silver,1
14,China,2000,Cycling,Butterfly,Male,26,199,53,10,1,197,7.4,No,Bronze,1
15,China,2015,Gymnastics,Rifle,Male,24,169,78,8,0,75,9.9,Yes,Silver,4
16,China,2005,Wrestling,Road Race,Male,23,188,89,5,0,7,8.2,No,Silver,1
17,India,2018,Wrestling,Relay,Female,23,191,71,4,0,162,5.2,No,Bronze,2
18,UK,2003,Boxing,Single Sculls,Female,30,165,70,11,0,114,5.1,Yes,Bronze,2
19,Japan,2007,Wrestling,Single Sculls,Male,25,167,48,4,0,103,6.3,No,Bronze,2
20,India,2023,Boxing,Relay,Male,19,172,45,11,0,116,8.4,No,Bronze,4
21,Germany,2002,Gymnastics,Floor Exercise,Male,21,180,80,7,0,176,9.2,No,Gold,1
22,USA,2010,Wrestling,Floor Exercise,Male,22,187,61,1,2,148,7.7,No,Silver,1
23,India,2019,Swimming,Heavyweight,Male,20,170,69,9,0,145,9.7,No,Silver,1
24,India,2018,Boxing,Butterfly,Male,20,183,54,13,2,19,7.7,Yes,Silver,1
25,Japan,2023,Swimming,Rifle,Male,20,169,58,13,0,91,6.6,No,Gold,1
26,Canada,2018,Rowing,Road Race,Female,23,178,78,13,1,188,7.7,Yes,Bronze,2
27,China,2015,Cycling,Single Sculls,Female,27,168,71,7,3,82,5.5,No,Gold,1
28,UK,2018,Shooting,Relay,Female,30,172,75,10,3,90,5.9,Yes,Silver,1
29,Germany,2021,Gymnastics,Single Sculls,Male,24,171,62,1,1,135,8.4,No,Gold,1
30,USA,2018,Shooting,Floor Exercise,Male,27,184,65,2,0,131,8.4,Yes,Gold,1
31,Germany,2020,Boxing,Heavyweight,Male,21,178,78,4,1,9,6.7,No,Silver,1
32,China,2019,Wrestling,200m,Male,29,177,71,8,0,34,9,No,Bronze,2
33,USA,2013,Wrestling,Road Race,Male,22,176,79,11,1,79,7.6,No,Bronze,4
34,Brazil,2011,Athletics,Floor Exercise,Male,26,185,80,4,2,97,7.3,No,Bronze,1
35,Brazil,2000,Swimming,200m,Male,28,176,74,5,0,120,8.4,No,Silver,2
36,Canada,2010,Rowing,100m,Male,20,166,93,6,0,56,8.5,No,Bronze,3
37,India,2010,Athletics,Floor Exercise,Male,25,169,58,1,3,94,7,No,Bronze,1
38,USA,2022,Swimming,Road Race,Male,25,161,81,6,3,180,8.7,No,Bronze,1
39,Russia,2021,Rowing,Single Sculls,Male,17,177,68,15,3,55,8.8,Yes,Gold,2
40,Japan,2016,Swimming,Single Sculls,Male,16,175,61,5,1,87,6.4,No,Gold,2
41,USA,2009,Wrestling,Rifle,Male,22,183,45,10,0,155,8.5,No,Gold,1
42,UK,2003,Gymnastics,Butterfly,Male,25,183,61,3,0,179,8,No,Bronze,1
43,USA,2024,Rowing,Butterfly,Female,23,163,80,13,0,182,9.1,No,Silver,1
44,Italy,2022,Boxing,Relay,Female,33,183,59,1,1,85,5.3,No,Silver,1
45,China,2018,Rowing,Rifle,Male,21,163,74,2,0,177,7.6,No,Silver,1
46,Russia,2022,Athletics,Relay,Male,23,161,65,10,3,26,5.5,No,Bronze,2
47,India,2013,Swimming,Vault,Male,27,179,77,10,0,7,8.9,No,Silver,1
48,UK,2016,Boxing,Single Sculls,Male,25,190,79,9,1,86,5.9,No,Bronze,2
49,Germany,2020,Athletics,Road Race,Female,34,170,64,3,1,62,9.2,No,Gold,1
50,China,2016,Wrestling,Road Race,Male,28,181,61,15,0,19,9.6,Yes,Bronze,1
51,Brazil,2019,Rowing,Heavyweight,Male,24,180,91,1,0,24,10,No,Silver,1
52,Canada,2017,Boxing,Vault,Female,27,174,70,9,1,198,6.7,No,Silver,1
53,Italy,2009,Cycling,100m,Male,21,173,83,13,2,89,6,No,Bronze,2
54,Italy,2017,Athletics,Single Sculls,Male,19,172,83,6,1,98,7.6,No,Silver,2
55,Germany,2021,Boxing,Butterfly,Female,23,165,86,14,1,139,6.4,No,Silver,1
56,Italy,2023,Gymnastics,Freestyle,Female,21,168,90,7,0,10,8.3,Yes,Silver,1
57,USA,2024,Wrestling,100m,Male,19,162,64,11,4,67,8,Yes,Bronze,2
58,China,2005,Swimming,Single Sculls,Male,24,172,64,1,1,200,5.7,No,Gold,1
59,USA,2018,Cycling,Single Sculls,Female,26,190,73,8,0,149,9.6,No,Gold,1
60,India,2018,Athletics,Road Race,Male,22,174,49,11,0,76,7.1,Yes,Bronze,1
61,Japan,2018,Swimming,Rifle,Male,32,160,75,1,2,73,9,Yes,Bronze,1
62,China,2012,Boxing,Single Sculls,Male,23,181,101,12,0,24,8.3,Yes,Bronze,4
63,France,2018,Boxing,Rifle,Male,19,150,88,12,1,36,6.1,No,Silver,1
64,India,2011,Boxing,Freestyle,Male,17,180,69,8,2,177,9.1,No,Gold,1
65,China,2024,Gymnastics,Freestyle,Female,20,169,73,14,0,145,9.5,No,Bronze,2
66,Germany,2003,Boxing,Rifle,Male,21,150,86,10,1,92,5.9,No,Bronze,1
67,USA,2006,Swimming,Rifle,Male,22,170,79,2,1,160,6.5,No,Bronze,4
68,Canada,2001,Gymnastics,Heavyweight,Male,23,157,113,9,2,73,8.4,No,Bronze,1
69,USA,2022,Athletics,Road Race,Male,20,173,74,10,0,16,5.7,No,Bronze,2
70,Brazil,2006,Swimming,200m,Male,20,182,75,15,1,127,7.9,No,Gold,2
71,Canada,2019,Cycling,100m,Female,22,177,68,11,1,156,6.5,No,Bronze,2
72,China,2003,Boxing,Relay,Female,26,171,78,6,1,80,9.9,No,Silver,4
73,USA,2020,Athletics,200m,Female,24,176,74,6,0,72,9.1,No,Gold,1
74,Canada,2016,Cycling,Road Race,Male,24,169,80,10,3,14,6.3,No,Silver,4
75,Australia,2021,Boxing,100m,Female,19,182,74,13,2,8,6.3,No,Gold,1
76,Australia,2006,Swimming,Single Sculls,Female,19,178,75,7,4,154,9.5,No,Silver,1
77,Canada,2019,Boxing,Single Sculls,Female,29,167,45,13,1,191,5.7,No,Silver,1
78,USA,2007,Athletics,200m,Male,22,183,93,13,2,47,6.9,No,Bronze,1
79,India,2022,Wrestling,Relay,Female,25,183,81,13,1,22,5,Yes,Bronze,2
80,USA,2013,Boxing,Single Sculls,Male,28,161,89,5,0,45,9.8,No,Bronze,1
81,France,2009,Swimming,Floor Exercise,Female,27,171,52,4,0,38,7.7,No,Silver,1
82,Russia,2013,Athletics,Vault,Male,21,182,64,9,1,108,8.7,No,Bronze,1
83,India,2000,Boxing,100m,Male,25,165,60,15,0,175,9.7,No,Bronze,4
84,USA,2024,Shooting,Road Race,Male,24,176,84,9,0,109,7.9,No,Silver,2
85,India,2013,Athletics,Single Sculls,Male,23,167,101,3,0,8,9.2,No,Bronze,1
86,India,2024,Shooting,Butterfly,Male,28,163,84,3,0,52,7.8,No,Silver,1
87,Australia,2016,Wrestling,Vault,Male,23,162,70,5,2,90,7.1,No,Bronze,1
88,Russia,2007,Gymnastics,Road Race,Female,31,172,67,2,0,12,5.5,No,Silver,1
89,Italy,2013,Swimming,Vault,Male,26,181,69,7,1,42,8.1,No,Silver,4
90,UK,2016,Swimming,Floor Exercise,Male,16,174,61,7,0,21,6.9,No,Silver,1
91,USA,2023,Athletics,Butterfly,Male,24,192,65,14,0,104,6.7,Yes,Bronze,4
92,Australia,2016,Swimming,Freestyle,Male,21,176,58,7,0,182,5.5,No,Bronze,2
93,Canada,2009,Wrestling,Relay,Male,27,159,88,3,2,37,7.1,Yes,Silver,1
94,Germany,2017,Gymnastics,Floor Exercise,Male,20,174,85,2,2,47,7.5,No,Bronze,1
95,Canada,2002,Athletics,Freestyle,Male,25,169,75,14,1,1,5.7,No,Bronze,1
96,UK,2009,Gymnastics,Relay,Male,21,189,67,15,0,73,9.2,No,Bronze,2
97,UK,2010,Cycling,100m,Male,22,174,64,7,0,4,6.8,Yes,Bronze,2
98,Japan,2019,Wrestling,Rifle,Male,37,180,66,12,0,1,9.1,No,Silver,1
99,USA,2015,Shooting,100m,Male,23,183,93,2,1,95,8.6,No,Bronze,3
100,USA,2016,Cycling,Freestyle,Male,26,165,68,6,1,189,9.8,No,Silver,1
101,USA,2023,Athletics,Road Race,Male,26,176,77,2,2,173,8.8,No,Silver,1
102,Russia,2006,Swimming,200m,Male,31,177,93,12,4,98,9.4,No,Silver,1
103,India,2017,Swimming,Heavyweight,Female,25,169,85,5,0,136,8.4,No,Bronze,1
104,UK,2008,Gymnastics,200m,Male,25,159,71,2,2,16,6.2,No,Bronze,1
105,Italy,2019,Wrestling,Floor Exercise,Male,28,179,78,7,2,12,9.6,Yes,Gold,1
106,China,2005,Athletics,Floor Exercise,Female,24,164,79,13,1,116,6.4,No,Silver,2
107,Japan,2012,Cycling,Butterfly,Female,17,171,65,10,4,187,8.9,No,Silver,2
108,Australia,2008,Swimming,Road Race,Female,25,171,57,2,0,125,10,No,Bronze,2
109,China,2015,Rowing,100m,Male,23,159,68,11,1,83,7.9,No,Silver,1
110,USA,2000,Swimming,Butterfly,Male,26,183,81,15,0,28,10,No,Silver,1
111,China,2002,Gymnastics,Vault,Female,18,166,60,1,4,115,9.4,No,Silver,1
112,China,2021,Rowing,Butterfly,Female,24,164,83,5,0,104,6.7,No,Silver,3
113,Italy,2022,Athletics,Butterfly,Male,27,170,60,14,0,2,8.2,No,Bronze,2
114,Canada,2013,Boxing,Single Sculls,Male,29,184,65,9,0,14,6.5,No,Gold,2
115,Russia,2024,Boxing,Freestyle,Female,25,162,78,2,0,35,5.1,No,Bronze,1
116,France,2003,Boxing,Floor Exercise,Male,26,178,82,3,0,147,7.8,No,Bronze,1
117,Canada,2022,Wrestling,Heavyweight,Female,25,166,82,1,1,124,8,Yes,Silver,1
118,China,2006,Athletics,Rifle,Female,26,169,78,14,0,150,5.9,Yes,Silver,2
119,Italy,2014,Cycling,Road Race,Male,27,168,79,11,0,101,9.6,No,Silver,2
120,UK,2007,Athletics,Butterfly,Female,27,172,64,9,0,109,9.9,No,Bronze,3
121,Canada,2004,Gymnastics,Floor Exercise,Male,28,177,65,9,3,107,5.7,No,Silver,3
122,Italy,2009,Shooting,100m,Male,29,177,95,6,0,73,8.8,No,Gold,3
123,India,2009,Athletics,Relay,Male,21,169,66,8,0,62,9.7,Yes,Bronze,2
124,USA,2017,Cycling,Butterfly,Male,25,167,45,11,0,134,5.7,No,Bronze,1
125,China,2012,Cycling,Heavyweight,Female,26,171,85,8,0,136,9.1,No,Silver,2
126,Japan,2012,Cycling,Heavyweight,Male,29,162,80,10,2,16,5.2,No,Bronze,3
127,Canada,2018,Shooting,Heavyweight,Female,27,181,72,15,3,36,5.7,No,Gold,1
128,France,2015,Wrestling,Floor Exercise,Male,21,168,79,6,0,28,8.7,No,Silver,1
129,USA,2016,Boxing,Freestyle,Male,18,196,71,10,0,114,5.8,No,Silver,1
130,UK,2022,Athletics,Freestyle,Female,27,154,63,14,2,137,5.1,No,Silver,1
131,Japan,2022,Athletics,Single Sculls,Female,17,195,57,8,0,158,5.9,No,Silver,1
132,China,2014,Athletics,Butterfly,Female,25,188,77,7,1,79,5.4,No,Bronze,1
133,USA,2016,Gymnastics,Floor Exercise,Female,16,174,92,12,1,23,5.3,No,Silver,1
134,India,2009,Shooting,Heavyweight,Male,30,168,59,5,0,85,7.7,No,Silver,1
135,Brazil,2023,Athletics,Floor Exercise,Male,20,171,92,6,1,101,6.7,No,Bronze,4
136,India,2019,Shooting,Butterfly,Male,30,153,79,15,1,17,6.5,No,Gold,1
137,UK,2007,Athletics,Freestyle,Male,19,177,57,9,4,189,6.3,No,Silver,3
138,Australia,2024,Shooting,Freestyle,Male,22,168,91,3,0,195,8.7,No,Silver,4
139,India,2013,Cycling,Rifle,Male,33,176,63,5,0,104,8.7,No,Silver,1
140,Brazil,2000,Swimming,200m,Male,32,173,80,11,0,110,5.3,No,Bronze,1
